,Seq Num,Obs ID,Instrument,Grating,Appr Exp ,Exposure ,Target Name,PI Name,RA,Dec,Status,Data Mode,Exp Mode ,Avg Cnt Rate,Evt Cnt,Start Date,Public Release Date,Proposal,Science Category,Type,Obs Cycle,Prop Cycle,Joint,Gname
391,501395,12562,ACIS-S,NONE,10.0,9.63,PTF11eon,Pooley,202.521,47.17,archived,VFAINT,TE,10.23977543,98610.0,6/12/2011 6:51,6/13/2012 6:26,12500494,SN, SNR AND ISOLATED NS,TOO,12,12,PTF11eon
392,501501,12668,ACIS-S,NONE,10.0,9.99,SN2011dh,Soderberg,202.521,47.17,archived,VFAINT,TE,9.681648047000001,96719.0,7/3/2011 10:30,7/4/2012 11:36,12500613,SN, SNR AND ISOLATED NS,TOO,12,12,SN2011dh
393,501523,12696,ACIS-S,NONE,15.0,14.85,SN 1979C,Patnaude,185.74400000000003,15.798,archived,VFAINT,TE,6.177959876,91758.0,2/24/2011 12:51,2/25/2012 7:30,12500852,SN, SNR AND ISOLATED NS,GO,12,12,M100
394,702384,12748,ACIS-S,NONE,40.0,36.29,NGC 4178,Satyapal,183.19299999999998,10.866,archived,FAINT,TE,0.6331178279999999,22973.0,2/19/2011 23:53,2/22/2012 6:39,12700229,ACTIVE GALAXIES AND QUASARS,GO,12,12,None,NGC 4178
395,600946,12978,ACIS-S,NONE,20.0,19.78,RZ 2109,Maccarone,187.415,7.892,archived,FAINT,TE,8.381645273,165784.0,11/20/2010 10:13,11/22/2011 10:22,12620342,NORMAL GALAXIES,GO,12,12,NOAO,RZ 2109
396,600949,12981,ACIS-S,NONE,10.0,9.82,PGC 3853,Mathur,16.27,-6.212999999999999,archived,FAINT,TE,4.572111949,44885.0,6/26/2011 3:58,6/28/2012 21:35,12620381,NORMAL GALAXIES,GO,12,12,None,MCG -01-03-085
397,600960,12992,ACIS-S,NONE,67.0,66.29,M83,Long,204.253,-29.866,archived,VFAINT,TE,10.50433313,696289.0,9/4/2011 6:05,12/30/2012 6:20,12620596,NORMAL GALAXIES,GO,12,12,None,MESSIER 083
398,600960,12993,ACIS-S,NONE,50.0,49.4,M83,Long,204.253,-29.866,archived,VFAINT,TE,9.890915388,488589.0,3/15/2011 12:00,12/30/2012 6:20,12620596,NORMAL GALAXIES,GO,12,12,None,MESSIER 083
399,600960,12994,ACIS-S,NONE,160.0,150.06,M83,Long,204.253,-29.866,archived,VFAINT,TE,10.1845239,1528270.0,3/23/2011 3:41,12/30/2012 6:20,12620596,NORMAL GALAXIES,GO,12,12,None,MESSIER 083
400,600960,12995,ACIS-S,NONE,60.0,59.29,M83,Long,204.253,-29.866,archived,VFAINT,TE,11.31415081,670825.0,12/23/2010 10:19,12/30/2012 6:20,12620596,NORMAL GALAXIES,GO,12,12,None,MESSIER 083
401,600960,12996,ACIS-S,NONE,55.0,53.04,M83,Long,204.253,-29.866,archived,VFAINT,TE,9.892260982,524729.0,3/29/2011 15:57,12/30/2012 6:20,12620596,NORMAL GALAXIES,GO,12,12,None,MESSIER 083
402,401280,13018,ACIS-S,NONE,12.0,10.89,NGC 5408 X-1,Kaaret,210.832,-41.383,archived,FAINT,TE,1.1094486270000001,12085.0,9/12/2010 12:36,9/13/2011 9:43,11400085,BH AND NS BINARIES,GO,11,11,HST,NGC 5408
403,600960,13202,ACIS-S,NONE,100.0,98.78,M83,Long,204.253,-29.866,archived,VFAINT,TE,11.39402687,1125500.0,12/25/2010 16:28,12/30/2012 6:20,12620596,NORMAL GALAXIES,GO,12,12,None,MESSIER 083
404,600960,13241,ACIS-S,NONE,82.0,78.96,M83,Long,204.253,-29.866,archived,VFAINT,TE,10.02557688,791645.0,3/18/2011 21:34,12/30/2012 6:20,12620596,NORMAL GALAXIES,GO,12,12,None,MESSIER 083
405,600960,13248,ACIS-S,NONE,55.0,54.33,M83,Long,204.253,-29.866,archived,VFAINT,TE,9.438834357000001,512808.0,4/3/2011 7:07,12/30/2012 6:20,12620596,NORMAL GALAXIES,GO,12,12,None,MESSIER 083
406,702512,13303,ACIS-I,NONE,5.0,5.51,Centaurus A,Murray,201.435,-43.033,archived,FAINT,TE,5.328105861,29353.0,4/14/2012 4:38,4/16/2013 13:58,13700012,ACTIVE GALAXIES AND QUASARS,GTO,13,13,None,NGC 5128
407,702513,13304,ACIS-I,NONE,5.0,5.01,Centaurus A,Murray,201.324,-43.016999999999996,archived,FAINT,TE,4.643520473,23285.0,8/29/2012 16:20,8/30/2013 11:10,13700012,ACTIVE GALAXIES AND QUASARS,GTO,13,13,None,NGC 5128
408,401301,13439,ACIS-S,NONE,62.5,57.77,NGC 7793,Soria,359.5,-32.556,archived,VFAINT,TE,6.304795252999999,364205.0,12/25/2011 13:45,1/3/2013 6:51,13400618,BH AND NS BINARIES,GO,12,13,None,NGC 7793
409,401372,13686,ACIS-S,NONE,10.0,9.13,IC 342 X-1,Kaaret,56.482,68.082,archived,FAINT,TE,0.7474362509999999,6827.0,10/29/2012 7:10,10/30/2013 10:36,13400164,BH AND NS BINARIES,GO,13,13,NRAO,IC 342 X-1
